game_id,season,seat_section,pricing_window,section_capacity,inventory_remaining,inventory_remaining_pct,current_sell_through_rate,base_ticket_price,current_ticket_price,tickets_sold_pct,sold_tickets,final_sell_through_rate,realized_revenue,revenue,promotion_flag
S2021_G001,2021,Club Level,7_days_out,950,527,0.5547,0.4449,317.0,360.32,0.445,423,0.743,254381.54,152282.59,0
S2021_G001,2021,Club Level,2_days_out,950,409,0.4305,0.5691,317.0,362.81,0.569,541,0.743,256135.84,196136.88,0
S2021_G001,2021,Club Level,day_of_game,950,299,0.3147,0.6856,317.0,346.35,0.686,651,0.743,244517.97,225573.5,0
S2021_G001,2021,Suite,30_days_out,350,270,0.7714,0.2293,509.37,515.22,0.229,80,0.814,146743.83,41345.33,0
S2021_G001,2021,Suite,14_days_out,350,205,0.5857,0.4133,509.37,547.02,0.413,145,0.814,155800.1,79138.19,0
S2021_G001,2021,Suite,7_days_out,350,194,0.5543,0.4464,509.37,539.71,0.446,156,0.814,153719.7,84332.43,0
S2021_G001,2021,Suite,2_days_out,350,110,0.3143,0.6859,509.37,547.06,0.686,240,0.814,155812.15,131330.64,0
S2021_G001,2021,Suite,day_of_game,350,82,0.2343,0.7658,509.37,568.87,0.766,268,0.814,162024.34,152467.2,0
S2021_G001,2021,Courtside/Premium,30_days_out,180,144,0.8,0.1996,763.03,828.24,0.2,36,0.826,123102.03,29754.73,0
S2021_G001,2021,Courtside/Premium,14_days_out,180,101,0.5611,0.4405,763.03,842.04,0.441,79,0.826,125153.87,66768.24,0
S2021_G001,2021,Courtside/Premium,7_days_out,180,77,0.4278,0.5704,763.03,851.3,0.57,103,0.826,126530.68,87403.03,0
S2021_G001,2021,Courtside/Premium,2_days_out,180,58,0.3222,0.6779,763.03,861.69,0.678,122,0.826,128075.03,105148.63,0
S2021_G001,2021,Courtside/Premium,day_of_game,180,48,0.2667,0.7325,763.03,841.68,0.733,132,0.826,125100.09,110981.33,0
S2021_G001,2021,Standing Room,30_days_out,1400,1091,0.7793,0.2209,43.26,49.2,0.221,309,0.865,59560.95,15216.15,0
S2021_G001,2021,Standing Room,14_days_out,1400,954,0.6814,0.3183,43.26,50.24,0.318,446,0.865,60824.31,22385.83,0
S2021_G001,2021,Standing Room,7_days_out,1400,709,0.5064,0.4934,43.26,48.83,0.493,691,0.865,59121.62,33734.64,0
S2021_G001,2021,Standing Room,2_days_out,1400,456,0.3257,0.6742,43.26,50.14,0.674,944,0.865,60705.2,47324.21,0
S2021_G001,2021,Standing Room,day_of_game,1400,258,0.1843,0.8154,43.26,47.8,0.815,1142,0.865,57870.69,54564.23,0
S2021_G002,2021,Upper Baseline,30_days_out,4200,3246,0.7729,0.2271,68.52,76.47,0.227,954,0.836,268415.45,72943.46,1
S2021_G002,2021,Upper Baseline,14_days_out,4200,2610,0.6214,0.3785,68.52,78.03,0.379,1590,0.836,273877.14,124059.1,1
S2021_G002,2021,Upper Baseline,7_days_out,4200,1776,0.4229,0.5772,68.52,79.02,0.577,2424,0.836,277354.84,191569.57,1
S2021_G002,2021,Upper Baseline,2_days_out,4200,1422,0.3386,0.6615,68.52,76.14,0.661,2778,0.836,267246.06,211543.87,1
S2021_G002,2021,Upper Baseline,day_of_game,4200,884,0.2105,0.7896,68.52,77.31,0.79,3316,0.836,271358.37,256383.52,1
S2021_G002,2021,Upper Sideline,30_days_out,3600,2894,0.8039,0.1961,87.4,95.23,0.196,706,0.87,298251.14,67242.35,1
S2021_G002,2021,Upper Sideline,14_days_out,3600,1700,0.4722,0.5277,87.4,97.08,0.528,1900,0.87,304034.62,184413.61,1
S2021_G002,2021,Upper Sideline,7_days_out,3600,1341,0.3725,0.6276,87.4,98.71,0.628,2259,0.87,309143.29,223015.83,1
S2021_G002,2021,Upper Sideline,2_days_out,3600,944,0.2622,0.7379,87.4,100.92,0.738,2656,0.87,316052.23,268070.89,1
S2021_G002,2021,Upper Sideline,day_of_game,3600,611,0.1697,0.8302,87.4,97.27,0.83,2989,0.87,304639.23,290726.3,1
S2021_G002,2021,Upper Center,30_days_out,2600,1927,0.7412,0.2587,100.7,112.57,0.259,673,0.894,261539.19,75721.39,1
S2021_G002,2021,Upper Center,14_days_out,2600,1406,0.5408,0.4591,100.7,109.79,0.459,1194,0.894,255072.04,131036.93,1
S2021_G002,2021,Upper Center,7_days_out,2600,1289,0.4958,0.5043,100.7,112.17,0.504,1311,0.894,260596.87,147064.12,1
S2021_G002,2021,Upper Center,2_days_out,2600,496,0.1908,0.8092,100.7,109.96,0.809,2104,0.894,255480.1,231357.37,1
S2021_G002,2021,Upper Center,day_of_game,2600,453,0.1742,0.8257,100.7,116.23,0.826,2147,0.894,270041.67,249523.31,1
S2021_G002,2021,Lower Corner,30_days_out,2100,1521,0.7243,0.2757,151.76,172.53,0.276,579,0.911,330090.95,99872.5,1
S2021_G002,2021,Lower Corner,14_days_out,2100,1210,0.5762,0.4239,151.76,174.09,0.424,890,0.911,333091.6,154961.72,1
S2021_G002,2021,Lower Corner,7_days_out,2100,812,0.3867,0.6132,151.76,171.44,0.613,1288,0.911,328018.17,220765.02,1
S2021_G002,2021,Lower Corner,2_days_out,2100,402,0.1914,0.8083,151.76,180.42,0.808,1698,0.911,345194.69,306269.9,1
S2021_G002,2021,Lower Corner,day_of_game,2100,285,0.1357,0.8645,151.76,179.26,0.864,1815,0.911,342979.04,325425.37,1
S2021_G002,2021,Lower Sideline,30_days_out,1900,1269,0.6679,0.3323,201.42,219.67,0.332,631,0.897,374507.36,138701.03,1
S2021_G002,2021,Lower Sideline,14_days_out,1900,1060,0.5579,0.442,201.42,216.25,0.442,840,0.897,368679.23,181592.44,1
S2021_G002,2021,Lower Sideline,7_days_out,1900,750,0.3947,0.6052,201.42,215.31,0.605,1150,0.897,367075.6,247569.06,1
S2021_G002,2021,Lower Sideline,2_days_out,1900,526,0.2768,0.7229,201.42,217.69,0.723,1374,0.897,371132.64,298996.8,1
S2021_G002,2021,Lower Sideline,day_of_game,1900,252,0.1326,0.8674,201.42,215.92,0.867,1648,0.897,368110.93,355829.68,1
S2021_G002,2021,Lower Center,30_days_out,1200,868,0.7233,0.2765,259.58,294.02,0.276,332,0.891,314293.69,97552.37,1
S2021_G002,2021,Lower Center,14_days_out,1200,645,0.5375,0.4621,259.58,296.57,0.462,555,0.891,317013.18,164469.92,1
S2021_G002,2021,Lower Center,7_days_out,1200,601,0.5008,0.4995,259.58,297.46,0.5,599,0.891,317967.29,178310.31,1
S2021_G002,2021,Lower Center,2_days_out,1200,330,0.275,0.7252,259.58,295.6,0.725,870,0.891,315973.86,257229.78,1
S2021_G002,2021,Lower Center,day_of_game,1200,230,0.1917,0.8085,259.58,295.27,0.808,970,0.891,315625.68,286456.59,1
S2021_G002,2021,Club Level,30_days_out,950,722,0.76,0.2402,363.45,395.9,0.24,228,0.849,319341.77,90352.73,1
S2021_G002,2021,Club Level,14_days_out,950,559,0.5884,0.4117,363.45,382.68,0.412,391,0.849,308682.01,149677.16,1
S2021_G002,2021,Club Level,7_days_out,950,403,0.4242,0.5758,363.45,393.59,0.576,547,0.849,317480.51,215304.44,1
S2021_G002,2021,Club Level,2_days_out,950,295,0.3105,0.6892,363.45,393.62,0.689,655,0.849,317502.84,257735.39,1
S2021_G002,2021,Club Level,day_of_game,950,174,0.1832,0.8164,363.45,383.93,0.816,776,0.849,309689.01,297787.39,1
S2021_G002,2021,Suite,30_days_out,350,270,0.7714,0.2293,579.36,683.1,0.229,80,0.843,201568.57,54821.07,1
S2021_G002,2021,Suite,14_days_out,350,209,0.5971,0.4024,579.36,677.42,0.402,141,0.843,199892.21,95418.63,1
S2021_G002,2021,Suite,7_days_out,350,150,0.4286,0.5724,579.36,693.21,0.572,200,0.843,204553.73,138872.64,1
S2021_G002,2021,Suite,2_days_out,350,111,0.3171,0.6817,579.36,646.46,0.682,239,0.843,190757.05,154244.45,1
S2021_G002,2021,Suite,day_of_game,350,71,0.2029,0.7973,579.36,672.41,0.797,279,0.843,198415.0,187640.35,1
S2021_G002,2021,Courtside/Premium,30_days_out,180,148,0.8222,0.1777,904.01,954.76,0.178,32,0.815,139984.76,30541.06,1
S2021_G002,2021,Courtside/Premium,14_days_out,180,112,0.6222,0.3784,904.01,996.48,0.378,68,0.815,146101.73,67877.99,1
S2021_G002,2021,Courtside/Premium,7_days_out,180,83,0.4611,0.539,904.01,981.1,0.539,97,0.815,143847.15,95192.19,1
S2021_G002,2021,Courtside/Premium,2_days_out,180,66,0.3667,0.6344,904.01,994.56,0.634,114,0.815,145821.08,113569.78,1
S2021_G002,2021,Courtside/Premium,day_of_game,180,45,0.25,0.7488,904.01,987.41,0.749,135,0.815,144772.84,133089.58,1
S2021_G002,2021,Standing Room,30_days_out,1400,1119,0.7993,0.2005,48.34,52.96,0.2,281,0.938,69562.84,14862.13,1
S2021_G002,2021,Standing Room,14_days_out,1400,831,0.5936,0.4066,48.34,52.45,0.407,569,0.938,68900.19,29856.85,1
S2021_G002,2021,Standing Room,7_days_out,1400,582,0.4157,0.5842,48.34,54.33,0.584,818,0.938,71361.22,44433.4,1
S2021_G002,2021,Standing Room,2_days_out,1400,342,0.2443,0.7556,48.34,52.45,0.756,1058,0.938,68900.46,55487.72,1
S2021_G002,2021,Standing Room,day_of_game,1400,235,0.1679,0.8323,48.34,55.2,0.832,1165,0.938,72505.54,64316.43,1
S2021_G003,2021,Upper Baseline,30_days_out,4200,3323,0.7912,0.2089,45.06,48.52,0.209,877,0.755,153766.45,42572.02,0
S2021_G003,2021,Upper Baseline,14_days_out,4200,3055,0.7274,0.2727,45.06,46.49,0.273,1145,0.755,147352.13,53255.7,0
S2021_G003,2021,Upper Baseline,7_days_out,4200,2170,0.5167,0.4833,45.06,45.51,0.483,2030,0.755,144217.33,92376.35,0
S2021_G003,2021,Upper Baseline,2_days_out,4200,1465,0.3488,0.6512,45.06,46.99,0.651,2735,0.755,148931.59,128521.0,0
S2021_G003,2021,Upper Baseline,day_of_game,4200,1502,0.3576,0.6425,45.06,46.25,0.642,2698,0.755,146560.7,124787.76,0
S2021_G003,2021,Upper Sideline,30_days_out,3600,2976,0.8267,0.1732,61.92,63.71,0.173,624,0.701,160722.93,39732.15,0
S2021_G003,2021,Upper Sideline,14_days_out,3600,2215,0.6153,0.3846,61.92,65.31,0.385,1385,0.701,164741.74,90423.42,0
S2021_G003,2021,Upper Sideline,7_days_out,3600,2069,0.5747,0.4252,61.92,65.07,0.425,1531,0.701,164134.94,99597.71,0
S2021_G003,2021,Upper Sideline,2_days_out,3600,1653,0.4592,0.5407,61.92,63.53,0.541,1947,0.701,160252.38,123660.71,0
S2021_G003,2021,Upper Sideline,day_of_game,3600,1454,0.4039,0.5962,61.92,62.94,0.596,2146,0.701,158775.11,135083.64,0
S2021_G003,2021,Upper Center,30_days_out,2600,2100,0.8077,0.1922,70.03,72.97,0.192,500,0.668,126714.34,36465.68,0
S2021_G003,2021,Upper Center,14_days_out,2600,1831,0.7042,0.2958,70.03,68.73,0.296,769,0.668,119360.15,52861.16,0
S2021_G003,2021,Upper Center,7_days_out,2600,1655,0.6365,0.3635,70.03,70.59,0.363,945,0.668,122578.6,66711.79,0
S2021_G003,2021,Upper Center,2_days_out,2600,1295,0.4981,0.5018,70.03,67.96,0.502,1305,0.668,118011.14,88661.57,0
S2021_G003,2021,Upper Center,day_of_game,2600,1173,0.4512,0.549,70.03,68.71,0.549,1427,0.668,119325.79,98083.48,0
S2021_G003,2021,Lower Corner,30_days_out,2100,1820,0.8667,0.1333,106.99,107.6,0.133,280,0.671,151531.94,30114.99,0
S2021_G003,2021,Lower Corner,14_days_out,2100,1515,0.7214,0.2785,106.99,106.32,0.279,585,0.671,149731.85,62189.5,0
S2021_G003,2021,Lower Corner,7_days_out,2100,1329,0.6329,0.3673,106.99,105.38,0.367,771,0.671,148411.56,81277.89,0
S2021_G003,2021,Lower Corner,2_days_out,2100,972,0.4629,0.5373,106.99,104.91,0.537,1128,0.671,147739.34,118377.08,0
S2021_G003,2021,Lower Corner,day_of_game,2100,785,0.3738,0.6261,106.99,104.67,0.626,1315,0.671,147402.39,137626.18,0
S2021_G003,2021,Lower Sideline,30_days_out,1900,1597,0.8405,0.1597,141.3,144.52,0.16,303,0.665,182662.5,43858.84,0
S2021_G003,2021,Lower Sideline,14_days_out,1900,1342,0.7063,0.2937,141.3,144.49,0.294,558,0.665,182623.59,80616.52,0
S2021_G003,2021,Lower Sideline,7_days_out,1900,1230,0.6474,0.3527,141.3,142.16,0.353,670,0.665,179678.05,95270.04,0
S2021_G003,2021,Lower Sideline,2_days_out,1900,924,0.4863,0.5138,141.3,139.84,0.514,976,0.665,176751.73,136514.26,0
S2021_G003,2021,Lower Sideline,day_of_game,1900,607,0.3195,0.6803,141.3,141.14,0.68,1293,0.665,178395.72,182434.23,0
S2021_G003,2021,Lower Center,30_days_out,1200,937,0.7808,0.2193,168.58,178.4,0.219,263,0.568,121682.81,46938.86,0
S2021_G003,2021,Lower Center,14_days_out,1200,883,0.7358,0.2642,168.58,174.59,0.264,317,0.568,119087.18,55344.48,0
S2021_G003,2021,Lower Center,7_days_out,1200,709,0.5908,0.4092,168.58,176.43,0.409,491,0.568,120341.9,86639.37,0
S2021_G003,2021,Lower Center,2_days_out,1200,696,0.58,0.4201,168.58,178.45,0.42,504,0.568,121719.26,89950.72,0
S2021_G003,2021,Lower Center,day_of_game,1200,632,0.5267,0.4734,168.58,175.07,0.473,568,0.568,119415.44,99453.09,0
S2021_G003,2021,Club Level,30_days_out,950,804,0.8463,0.1535,267.59,253.1,0.154,146,0.793,190600.07,36918.28,0
S2021_G003,2021,Club Level,14_days_out,950,624,0.6568,0.3431,267.59,251.08,0.343,326,0.793,189077.7,81836.44,0
S2021_G003,2021,Club Level,7_days_out,950,484,0.5095,0.4907,267.59,256.85,0.491,466,0.793,193417.04,119723.3,0
S2021_G003,2021,Club Level,2_days_out,950,353,0.3716,0.628,267.59,268.94,0.628,597,0.793,202524.95,160452.83,0
S2021_G003,2021,Club Level,day_of_game,950,257,0.2705,0.7292,267.59,264.98,0.729,693,0.793,199543.41,183557.56,0
S2021_G003,2021,Suite,30_days_out,350,306,0.8743,0.127,403.94,421.33,0.127,44,0.645,95183.62,18722.5,0
S2021_G003,2021,Suite,14_days_out,350,227,0.6486,0.3526,403.94,402.18,0.353,123,0.645,90859.08,49629.12,0
S2021_G003,2021,Suite,7_days_out,350,207,0.5914,0.4084,403.94,396.1,0.408,143,0.645,89485.97,56617.19,0
S2021_G003,2021,Suite,2_days_out,350,171,0.4886,0.5127,403.94,413.47,0.513,179,0.645,93409.58,74188.86,0
S2021_G003,2021,Suite,day_of_game,350,171,0.4886,0.5105,403.94,402.9,0.511,179,0.645,91022.0,71991.61,0
S2021_G003,2021,Courtside/Premium,30_days_out,180,146,0.8111,0.1873,614.66,647.54,0.187,34,0.728,84805.84,21830.77,0
S2021_G003,2021,Courtside/Premium,14_days_out,180,120,0.6667,0.3324,614.66,620.79,0.332,60,0.728,81302.12,37141.28,0
S2021_G003,2021,Courtside/Premium,7_days_out,180,102,0.5667,0.4312,614.66,611.34,0.431,78,0.728,80064.02,47453.48,0
S2021_G003,2021,Courtside/Premium,2_days_out,180,83,0.4611,0.5363,614.66,619.7,0.536,97,0.728,81158.81,59818.89,0
S2021_G003,2021,Courtside/Premium,day_of_game,180,57,0.3167,0.6815,614.66,628.87,0.682,123,0.728,82360.32,77144.3,0
S2021_G003,2021,Standing Room,30_days_out,1400,1226,0.8757,0.1243,35.94,37.16,0.124,174,0.725,37700.33,6464.56,0
S2021_G003,2021,Standing Room,14_days_out,1400,871,0.6221,0.3779,35.94,35.11,0.378,529,0.725,35621.52,18576.74,0
S2021_G003,2021,Standing Room,7_days_out,1400,798,0.57,0.4299,35.94,35.77,0.43,602,0.725,36288.28,21526.69,0
S2021_G003,2021,Standing Room,2_days_out,1400,628,0.4486,0.5516,35.94,33.61,0.552,772,0.725,34098.85,25954.68,0
S2021_G003,2021,Standing Room,day_of_game,1400,474,0.3386,0.6611,35.94,35.86,0.661,926,0.725,36382.76,33191.28,0
S2021_G004,2021,Upper Baseline,30_days_out,4200,3566,0.849,0.151,45.76,46.51,0.151,634,0.792,154724.2,29501.49,0
S2021_G004,2021,Upper Baseline,14_days_out,4200,2495,0.594,0.4058,45.76,48.27,0.406,1705,0.792,160584.26,82286.5,0
S2021_G004,2021,Upper Baseline,7_days_out,4200,2005,0.4774,0.5225,45.76,47.64,0.523,2195,0.792,158461.19,104542.92,0
S2021_G004,2021,Upper Baseline,2_days_out,4200,1498,0.3567,0.6433,45.76,45.94,0.643,2702,0.792,152826.77,124125.25,0
S2021_G004,2021,Upper Baseline,day_of_game,4200,968,0.2305,0.7696,45.76,46.6,0.77,3232,0.792,155012.31,150619.61,0
S2021_G004,2021,Upper Sideline,30_days_out,3600,2811,0.7808,0.2191,64.32,62.24,0.219,789,0.74,165900.15,49090.81,0
S2021_G004,2021,Upper Sideline,14_days_out,3600,2383,0.6619,0.3382,64.32,64.55,0.338,1217,0.74,172069.92,78592.08,0
S2021_G004,2021,Upper Sideline,7_days_out,3600,2022,0.5617,0.4383,64.32,63.95,0.438,1578,0.74,170462.25,100914.82,0
S2021_G004,2021,Upper Sideline,2_days_out,3600,1384,0.3844,0.6156,64.32,62.02,0.616,2216,0.74,165310.81,137432.4,0
S2021_G004,2021,Upper Sideline,day_of_game,3600,1179,0.3275,0.6725,64.32,65.52,0.673,2421,0.74,174660.48,158636.31,0
S2021_G004,2021,Upper Center,30_days_out,2600,2335,0.8981,0.1018,75.08,82.4,0.102,265,0.526,112755.54,21799.12,0
S2021_G004,2021,Upper Center,14_days_out,2600,1992,0.7662,0.2339,75.08,81.4,0.234,608,0.526,111388.81,49502.74,0
S2021_G004,2021,Upper Center,7_days_out,2600,1795,0.6904,0.3098,75.08,79.78,0.31,805,0.526,109171.05,64258.91,0
S2021_G004,2021,Upper Center,2_days_out,2600,1457,0.5604,0.4394,75.08,76.81,0.439,1143,0.526,105107.06,87757.28,0
S2021_G004,2021,Upper Center,day_of_game,2600,1342,0.5162,0.4838,75.08,78.89,0.484,1258,0.526,107952.61,99229.11,0
S2021_G004,2021,Lower Corner,30_days_out,2100,1766,0.841,0.159,115.85,113.44,0.159,334,0.814,193957.25,37876.75,0
S2021_G004,2021,Lower Corner,14_days_out,2100,1357,0.6462,0.3538,115.85,111.7,0.354,743,0.814,190994.87,83001.13,0
S2021_G004,2021,Lower Corner,7_days_out,2100,1111,0.529,0.471,115.85,111.6,0.471,989,0.814,190815.84,110384.1,0
S2021_G004,2021,Lower Corner,2_days_out,2100,869,0.4138,0.5861,115.85,115.92,0.586,1231,0.814,198207.58,142686.33,0
S2021_G004,2021,Lower Corner,day_of_game,2100,448,0.2133,0.7868,115.85,115.41,0.787,1652,0.814,197333.78,190693.28,0
S2021_G004,2021,Lower Sideline,30_days_out,1900,1550,0.8158,0.1844,139.42,138.53,0.184,350,0.789,207694.18,48534.12,0
S2021_G004,2021,Lower Sideline,14_days_out,1900,1286,0.6768,0.323,139.42,145.26,0.323,614,0.789,217789.69,89149.92,0
S2021_G004,2021,Lower Sideline,7_days_out,1900,1057,0.5563,0.4436,139.42,143.2,0.444,843,0.789,214700.03,120689.34,0
S2021_G004,2021,Lower Sideline,2_days_out,1900,705,0.3711,0.6287,139.42,144.95,0.629,1195,0.789,217333.03,173155.56,0
S2021_G004,2021,Lower Sideline,day_of_game,1900,639,0.3363,0.6638,139.42,141.53,0.664,1261,0.789,212205.93,178503.67,0
S2021_G004,2021,Lower Center,30_days_out,1200,1000,0.8333,0.1668,201.91,210.15,0.167,200,0.65,163829.36,42053.69,0
S2021_G004,2021,Lower Center,14_days_out,1200,801,0.6675,0.3325,201.91,197.13,0.332,399,0.65,153676.01,78644.48,0
S2021_G004,2021,Lower Center,7_days_out,1200,749,0.6242,0.3758,201.91,209.11,0.376,451,0.65,163020.29,94304.92,0
S2021_G004,2021,Lower Center,2_days_out,1200,611,0.5092,0.4906,201.91,204.08,0.491,589,0.65,159095.65,120154.63,0
S2021_G004,2021,Lower Center,day_of_game,1200,567,0.4725,0.5273,201.91,207.71,0.527,633,0.65,161926.31,131432.89,0
S2021_G004,2021,Club Level,30_days_out,950,827,0.8705,0.1296,263.17,283.45,0.13,123,0.78,210000.33,34885.15,0
S2021_G004,2021,Club Level,14_days_out,950,602,0.6337,0.3663,263.17,293.45,0.366,348,0.78,217414.03,102105.18,0
S2021_G004,2021,Club Level,7_days_out,950,502,0.5284,0.4717,263.17,281.2,0.472,448,0.78,208332.36,125996.67,0
S2021_G004,2021,Club Level,2_days_out,950,324,0.3411,0.659,263.17,276.9,0.659,626,0.78,205152.78,173361.84,0
S2021_G004,2021,Club Level,day_of_game,950,278,0.2926,0.7078,263.17,271.99,0.708,672,0.78,201515.64,182891.74,0
S2021_G004,2021,Suite,30_days_out,350,307,0.8771,0.1229,426.37,453.16,0.123,43,0.679,107732.41,19487.34,0
S2021_G004,2021,Suite,14_days_out,350,227,0.6486,0.3509,426.37,455.06,0.351,123,0.679,108185.03,55886.76,0
S2021_G004,2021,Suite,7_days_out,350,192,0.5486,0.4501,426.37,446.93,0.45,158,0.679,106251.59,70400.56,0
S2021_G004,2021,Suite,2_days_out,350,158,0.4514,0.5497,426.37,441.42,0.55,192,0.679,104941.14,84927.01,0
S2021_G004,2021,Suite,day_of_game,350,107,0.3057,0.6933,426.37,450.7,0.693,243,0.679,107148.23,109370.14,0
S2021_G004,2021,Courtside/Premium,30_days_out,180,162,0.9,0.1009,691.2,720.51,0.101,18,0.644,83571.14,13087.57,0
S2021_G004,2021,Courtside/Premium,14_days_out,180,129,0.7167,0.2848,691.2,693.62,0.285,51,0.644,80452.88,35563.85,0
S2021_G004,2021,Courtside/Premium,7_days_out,180,107,0.5944,0.4049,691.2,717.44,0.405,73,0.644,83214.73,52281.97,0
S2021_G004,2021,Courtside/Premium,2_days_out,180,86,0.4778,0.5247,691.2,713.34,0.525,94,0.644,82740.26,67366.91,0
S2021_G004,2021,Courtside/Premium,day_of_game,180,66,0.3667,0.6345,691.2,721.45,0.635,114,0.644,83680.33,82402.34,0
S2021_G004,2021,Standing Room,30_days_out,1400,1115,0.7964,0.2038,38.44,38.77,0.204,285,0.786,42660.4,11060.13,0
S2021_G004,2021,Standing Room,14_days_out,1400,881,0.6293,0.3709,38.44,40.55,0.371,519,0.786,44621.19,21054.8,0
S2021_G004,2021,Standing Room,7_days_out,1400,716,0.5114,0.4882,38.44,41.0,0.488,684,0.786,45117.17,28026.04,0
S2021_G004,2021,Standing Room,2_days_out,1400,509,0.3636,0.6362,38.44,39.18,0.636,891,0.786,43108.72,34895.93,0
S2021_G004,2021,Standing Room,day_of_game,1400,378,0.27,0.7297,38.44,38.9,0.73,1022,0.786,42803.06,39738.91,0
S2021_G005,2021,Upper Baseline,30_days_out,4200,3087,0.735,0.2651,49.13,50.53,0.265,1113,0.842,178767.8,56261.44,0
S2021_G005,2021,Upper Baseline,14_days_out,4200,2310,0.55,0.45,49.13,52.29,0.45,1890,0.842,185013.9,98843.57,0
