game_id,season,seat_section,pricing_window,secondary_market_avg_price,secondary_market_listing_count,resale_price_gap_pct,resale_velocity_index,scalper_pressure_score,scalper_risk_tier
S2021_G001,2021,Lower Sideline,7_days_out,247.38,246.59,0.3145,72.08,0.5396,Medium
S2021_G001,2021,Lower Sideline,2_days_out,223.04,279.33,0.2252,73.45,0.4979,Medium
S2021_G001,2021,Lower Sideline,day_of_game,237.67,300.65,0.3365,89.16,0.6262,High
S2021_G001,2021,Lower Center,30_days_out,283.73,86.99,0.2217,97.85,0.453,Medium
S2021_G001,2021,Lower Center,14_days_out,274.86,144.41,0.2155,89.23,0.4351,Medium
S2021_G001,2021,Lower Center,7_days_out,271.45,149.25,0.2115,96.37,0.4702,Medium
S2021_G001,2021,Lower Center,2_days_out,290.77,199.23,0.241,90.89,0.4997,Medium
S2021_G001,2021,Lower Center,day_of_game,298.94,181.77,0.3298,103.86,0.613,Medium
S2021_G001,2021,Club Level,30_days_out,441.8,46.2,0.2529,61.67,0.3282,Low
S2021_G001,2021,Club Level,14_days_out,471.2,100.72,0.3132,83.83,0.6014,Medium
S2021_G001,2021,Club Level,7_days_out,470.84,93.97,0.3067,88.82,0.5313,Medium
S2021_G001,2021,Club Level,2_days_out,454.96,150.33,0.254,66.48,0.3897,Medium
S2021_G001,2021,Club Level,day_of_game,475.02,165.83,0.3715,77.76,0.574,High
S2021_G001,2021,Suite,30_days_out,713.57,35.16,0.385,84.4,0.569,High
S2021_G001,2021,Suite,14_days_out,724.77,57.86,0.3249,108.95,0.5402,Medium
S2021_G001,2021,Suite,7_days_out,759.75,64.49,0.4077,88.0,0.6463,High
S2021_G001,2021,Suite,2_days_out,734.07,73.32,0.3418,105.27,0.5624,High
S2021_G001,2021,Suite,day_of_game,771.8,63.87,0.3567,98.87,0.5531,Medium
S2021_G001,2021,Courtside/Premium,30_days_out,1122.42,2.0,0.3552,111.65,0.6141,High
S2021_G001,2021,Courtside/Premium,14_days_out,1152.1,11.88,0.3682,93.41,0.5704,High
S2021_G001,2021,Courtside/Premium,7_days_out,1158.87,2.0,0.3613,97.91,0.5917,Medium
S2021_G001,2021,Courtside/Premium,2_days_out,971.75,58.15,0.1277,88.7,0.4518,Medium
S2021_G001,2021,Courtside/Premium,day_of_game,1181.27,25.61,0.4035,103.41,0.654,High
S2021_G001,2021,Standing Room,30_days_out,63.42,107.02,0.2892,92.56,0.538,Medium
S2021_G001,2021,Standing Room,14_days_out,65.51,170.09,0.3039,91.37,0.5551,Medium
S2021_G001,2021,Standing Room,7_days_out,62.38,190.19,0.2774,76.29,0.5332,High
S2021_G001,2021,Standing Room,2_days_out,69.24,230.03,0.381,93.42,0.6698,High
S2021_G001,2021,Standing Room,day_of_game,63.67,204.11,0.3321,87.17,0.5915,High
S2021_G002,2021,Upper Baseline,30_days_out,121.13,356.37,0.5839,101.32,0.9241,High
S2021_G002,2021,Upper Baseline,14_days_out,118.95,574.0,0.5244,104.07,0.9871,High
S2021_G002,2021,Upper Baseline,7_days_out,117.7,620.01,0.4895,110.55,0.8376,High
S2021_G002,2021,Upper Baseline,2_days_out,121.59,779.99,0.5969,133.75,1.0,High
S2021_G002,2021,Upper Baseline,day_of_game,126.54,832.45,0.6367,116.7,1.0,High
S2021_G002,2021,Upper Sideline,30_days_out,148.52,321.11,0.5595,99.97,0.9006,High
S2021_G002,2021,Upper Sideline,14_days_out,137.54,440.37,0.4167,89.41,0.7453,High
S2021_G002,2021,Upper Sideline,7_days_out,154.57,598.98,0.5658,97.29,1.0,High
S2021_G002,2021,Upper Sideline,2_days_out,151.77,612.5,0.5039,101.54,0.9636,High
S2021_G002,2021,Upper Sideline,day_of_game,151.29,659.46,0.5553,126.08,1.0,High
S2021_G002,2021,Upper Center,30_days_out,175.22,213.58,0.5566,101.58,0.8559,High
S2021_G002,2021,Upper Center,14_days_out,160.88,341.47,0.4654,104.97,0.8504,High
S2021_G002,2021,Upper Center,7_days_out,179.47,440.09,0.6,96.42,0.9312,High
S2021_G002,2021,Upper Center,2_days_out,173.21,450.29,0.5752,97.53,0.9564,High
S2021_G002,2021,Upper Center,day_of_game,183.04,509.75,0.5748,96.86,0.9201,High
S2021_G002,2021,Lower Corner,30_days_out,276.63,140.54,0.6034,100.47,0.8113,High
S2021_G002,2021,Lower Corner,14_days_out,279.81,304.21,0.6072,112.09,0.9792,High
S2021_G002,2021,Lower Corner,7_days_out,250.28,300.1,0.4598,96.08,0.795,High
S2021_G002,2021,Lower Corner,2_days_out,297.85,407.45,0.6508,102.91,0.9939,High
S2021_G002,2021,Lower Corner,day_of_game,276.37,391.81,0.5417,130.81,1.0,High
S2021_G002,2021,Lower Sideline,30_days_out,340.16,188.36,0.5485,133.87,0.8946,High
S2021_G002,2021,Lower Sideline,14_days_out,318.26,256.08,0.4717,108.5,0.8076,High
S2021_G002,2021,Lower Sideline,7_days_out,338.93,322.44,0.5741,115.09,0.9018,High
S2021_G002,2021,Lower Sideline,2_days_out,304.4,317.49,0.3983,115.58,0.7709,High
S2021_G002,2021,Lower Sideline,day_of_game,345.59,394.85,0.6006,98.62,0.9714,High
S2021_G002,2021,Lower Center,30_days_out,441.53,91.26,0.5017,92.46,0.7285,High
S2021_G002,2021,Lower Center,14_days_out,453.04,158.02,0.5276,105.83,0.7313,High
S2021_G002,2021,Lower Center,7_days_out,473.52,197.7,0.5919,109.62,0.9134,High
S2021_G002,2021,Lower Center,2_days_out,498.31,220.08,0.6858,138.0,1.0,High
S2021_G002,2021,Lower Center,day_of_game,478.25,242.7,0.6197,117.65,0.955,High
S2021_G002,2021,Club Level,30_days_out,578.57,78.63,0.4614,120.06,0.7392,High
S2021_G002,2021,Club Level,14_days_out,560.02,145.2,0.4634,90.04,0.6643,High
S2021_G002,2021,Club Level,7_days_out,587.81,175.47,0.4935,96.58,0.7807,High
S2021_G002,2021,Club Level,2_days_out,561.43,173.0,0.4263,96.53,0.7095,High
S2021_G002,2021,Club Level,day_of_game,569.51,165.45,0.4834,99.99,0.7701,High
S2021_G002,2021,Suite,30_days_out,1022.71,2.0,0.4972,97.53,0.6641,Medium
S2021_G002,2021,Suite,14_days_out,1022.9,61.94,0.51,92.29,0.7071,High
S2021_G002,2021,Suite,7_days_out,1090.55,44.52,0.5732,120.85,0.8487,High
S2021_G002,2021,Suite,2_days_out,1056.43,51.13,0.6342,126.39,0.8965,High
S2021_G002,2021,Suite,day_of_game,1061.18,47.2,0.5782,110.41,0.823,High
S2021_G002,2021,Courtside/Premium,30_days_out,1504.95,43.69,0.5763,111.06,0.8283,High
S2021_G002,2021,Courtside/Premium,14_days_out,1554.53,22.97,0.56,109.06,0.8208,High
S2021_G002,2021,Courtside/Premium,7_days_out,1446.28,2.0,0.4741,92.85,0.6331,High
S2021_G002,2021,Courtside/Premium,2_days_out,1496.23,19.2,0.5044,98.3,0.6883,High
S2021_G002,2021,Courtside/Premium,day_of_game,1532.74,33.12,0.5523,113.65,0.7695,High
S2021_G002,2021,Standing Room,30_days_out,77.31,109.66,0.4599,102.89,0.7184,High
S2021_G002,2021,Standing Room,14_days_out,78.54,160.42,0.4973,107.22,0.8322,High
S2021_G002,2021,Standing Room,7_days_out,79.42,218.49,0.4619,126.57,0.8396,High
S2021_G002,2021,Standing Room,2_days_out,85.41,280.69,0.6283,119.22,0.9853,High
S2021_G002,2021,Standing Room,day_of_game,91.31,284.72,0.6542,120.26,0.9985,High
S2021_G003,2021,Upper Baseline,30_days_out,45.77,26.86,-0.0568,40.82,0.1064,Low
S2021_G003,2021,Upper Baseline,14_days_out,46.43,108.93,-0.0015,53.3,0.1455,Low
S2021_G003,2021,Upper Baseline,7_days_out,49.7,136.67,0.0922,71.86,0.2785,Low
S2021_G003,2021,Upper Baseline,2_days_out,53.65,186.07,0.1417,56.54,0.3306,Low
S2021_G003,2021,Upper Baseline,day_of_game,44.28,94.61,-0.0425,29.05,0.15,Low
S2021_G003,2021,Upper Sideline,30_days_out,62.74,55.32,-0.0153,40.77,0.154,Low
S2021_G003,2021,Upper Sideline,14_days_out,66.97,71.04,0.0254,40.73,0.1521,Low
S2021_G003,2021,Upper Sideline,7_days_out,70.41,121.02,0.0821,50.67,0.2312,Low
S2021_G003,2021,Upper Sideline,2_days_out,70.64,152.01,0.112,41.57,0.2521,Low
S2021_G003,2021,Upper Sideline,day_of_game,69.74,115.49,0.1081,50.49,0.2759,Low
S2021_G003,2021,Upper Center,30_days_out,83.15,27.78,0.1395,64.38,0.2568,Low
S2021_G003,2021,Upper Center,14_days_out,73.63,65.38,0.0713,52.19,0.2215,Low
S2021_G003,2021,Upper Center,7_days_out,74.69,84.72,0.0581,34.06,0.1567,Low
S2021_G003,2021,Upper Center,2_days_out,79.73,141.56,0.1732,45.55,0.335,Low
S2021_G003,2021,Upper Center,day_of_game,73.08,61.31,0.0635,50.52,0.2143,Low
S2021_G003,2021,Lower Corner,30_days_out,111.69,36.45,0.038,39.47,0.1165,Low
S2021_G003,2021,Lower Corner,14_days_out,107.97,50.78,0.0155,67.09,0.1233,Low
S2021_G003,2021,Lower Corner,7_days_out,106.06,69.81,0.0064,45.08,0.1318,Low
S2021_G003,2021,Lower Corner,2_days_out,106.28,81.12,0.0131,33.43,0.1477,Low
S2021_G003,2021,Lower Corner,day_of_game,109.31,42.24,0.0444,43.62,0.1589,Low
S2021_G003,2021,Lower Sideline,30_days_out,143.2,2.0,-0.0091,18.97,0.046,Low
S2021_G003,2021,Lower Sideline,14_days_out,168.29,96.32,0.1648,53.97,0.3519,Low
S2021_G003,2021,Lower Sideline,7_days_out,171.75,54.22,0.2082,65.83,0.3777,Low
S2021_G003,2021,Lower Sideline,2_days_out,153.01,95.08,0.0941,52.35,0.2343,Low
S2021_G003,2021,Lower Sideline,day_of_game,135.3,71.02,-0.0414,21.65,0.0693,Low
S2021_G003,2021,Lower Center,30_days_out,164.81,24.54,-0.0762,42.26,0.135,Low
S2021_G003,2021,Lower Center,14_days_out,181.16,65.11,0.0376,45.29,0.1241,Low
S2021_G003,2021,Lower Center,7_days_out,176.87,36.43,0.0025,30.18,0.0738,Low
S2021_G003,2021,Lower Center,2_days_out,172.16,6.91,-0.0352,39.62,0.0578,Low
S2021_G003,2021,Lower Center,day_of_game,167.56,34.87,-0.0429,15.84,0.0558,Low
S2021_G003,2021,Club Level,30_days_out,275.66,32.01,0.0891,33.52,0.1192,Low
S2021_G003,2021,Club Level,14_days_out,279.55,47.33,0.1134,40.38,0.2185,Low
S2021_G003,2021,Club Level,7_days_out,274.31,51.04,0.068,32.51,0.1801,Low
S2021_G003,2021,Club Level,2_days_out,265.64,45.38,-0.0123,24.43,0.0489,Low
S2021_G003,2021,Club Level,day_of_game,298.41,48.97,0.1261,58.47,0.2689,Low
S2021_G003,2021,Suite,30_days_out,495.93,2.0,0.1771,73.05,0.3456,Low
S2021_G003,2021,Suite,14_days_out,467.81,11.36,0.1632,48.29,0.2724,Low
S2021_G003,2021,Suite,7_days_out,361.7,2.0,-0.0869,40.38,0.1121,Low
S2021_G003,2021,Suite,2_days_out,443.25,2.0,0.072,45.73,0.1838,Low
S2021_G003,2021,Suite,day_of_game,412.95,18.96,0.0249,38.92,0.1384,Low
S2021_G003,2021,Courtside/Premium,30_days_out,729.81,2.0,0.127,41.93,0.101,Low
S2021_G003,2021,Courtside/Premium,14_days_out,706.0,24.57,0.1373,54.74,0.2728,Low
S2021_G003,2021,Courtside/Premium,7_days_out,614.21,2.0,0.0047,39.32,0.1014,Low
S2021_G003,2021,Courtside/Premium,2_days_out,677.43,28.25,0.0932,28.72,0.2032,Low
S2021_G003,2021,Courtside/Premium,day_of_game,782.67,2.0,0.2446,60.59,0.3116,Medium
S2021_G003,2021,Standing Room,30_days_out,41.73,25.67,0.123,32.43,0.2161,Low
S2021_G003,2021,Standing Room,14_days_out,35.12,2.65,0.0004,63.69,0.1693,Low
S2021_G003,2021,Standing Room,7_days_out,39.64,41.81,0.1084,37.96,0.2056,Low
S2021_G003,2021,Standing Room,2_days_out,37.0,50.51,0.1009,38.08,0.2652,Low
S2021_G003,2021,Standing Room,day_of_game,41.6,73.86,0.16,55.7,0.2802,Medium
S2021_G004,2021,Upper Baseline,30_days_out,50.09,67.45,0.0769,80.39,0.2669,Low
S2021_G004,2021,Upper Baseline,14_days_out,56.35,111.13,0.1674,65.3,0.3377,Medium
S2021_G004,2021,Upper Baseline,7_days_out,53.78,131.24,0.129,48.97,0.344,Low
S2021_G004,2021,Upper Baseline,2_days_out,56.65,217.74,0.233,62.42,0.4567,Medium
S2021_G004,2021,Upper Baseline,day_of_game,62.55,302.08,0.3423,77.88,0.6055,High
S2021_G004,2021,Upper Sideline,30_days_out,71.97,43.3,0.1564,60.09,0.2928,Low
S2021_G004,2021,Upper Sideline,14_days_out,70.08,124.82,0.0857,53.16,0.292,Low
S2021_G004,2021,Upper Sideline,7_days_out,71.91,145.41,0.1245,61.39,0.3617,Medium
S2021_G004,2021,Upper Sideline,2_days_out,68.92,165.31,0.1113,63.77,0.3145,Medium
S2021_G004,2021,Upper Sideline,day_of_game,72.41,135.68,0.1051,46.24,0.2807,Medium
S2021_G004,2021,Upper Center,30_days_out,79.15,19.07,-0.0394,39.4,0.0804,Low
S2021_G004,2021,Upper Center,14_days_out,74.31,41.2,-0.087,36.88,0.1343,Low
S2021_G004,2021,Upper Center,7_days_out,73.18,36.07,-0.0827,44.74,0.1564,Low
S2021_G004,2021,Upper Center,2_days_out,71.39,99.81,-0.0705,48.47,0.1629,Low
S2021_G004,2021,Upper Center,day_of_game,81.14,80.65,0.0285,38.17,0.159,Low
S2021_G004,2021,Lower Corner,30_days_out,125.79,44.92,0.1089,24.91,0.2129,Low
S2021_G004,2021,Lower Corner,14_days_out,124.18,48.71,0.1117,60.19,0.2341,Medium
S2021_G004,2021,Lower Corner,7_days_out,117.26,87.59,0.0507,56.01,0.2031,Low
S2021_G004,2021,Lower Corner,2_days_out,135.01,99.46,0.1647,51.93,0.3597,Medium
S2021_G004,2021,Lower Corner,day_of_game,133.05,102.13,0.1528,41.53,0.3148,Medium
S2021_G004,2021,Lower Sideline,30_days_out,148.92,25.53,0.075,47.46,0.1644,Low
S2021_G004,2021,Lower Sideline,14_days_out,156.17,73.57,0.0751,64.0,0.2648,Low
S2021_G004,2021,Lower Sideline,7_days_out,154.31,80.26,0.0776,28.79,0.1302,Low
S2021_G004,2021,Lower Sideline,2_days_out,165.12,78.5,0.1391,63.92,0.3421,Low
S2021_G004,2021,Lower Sideline,day_of_game,151.14,39.68,0.0679,55.85,0.2369,Low
S2021_G004,2021,Lower Center,30_days_out,249.33,39.26,0.1864,50.71,0.3032,Low
S2021_G004,2021,Lower Center,14_days_out,208.46,59.77,0.0575,34.45,0.1417,Low
S2021_G004,2021,Lower Center,7_days_out,262.19,66.25,0.2538,48.79,0.3725,Medium
S2021_G004,2021,Lower Center,2_days_out,247.57,71.15,0.2131,57.33,0.3763,Medium
S2021_G004,2021,Lower Center,day_of_game,215.56,46.83,0.0378,52.99,0.1794,Low
S2021_G004,2021,Club Level,30_days_out,302.38,32.45,0.0668,34.8,0.0931,Low
S2021_G004,2021,Club Level,14_days_out,331.65,51.8,0.1302,49.51,0.2727,Low
S2021_G004,2021,Club Level,7_days_out,292.74,41.88,0.0411,50.25,0.2067,Low
S2021_G004,2021,Club Level,2_days_out,324.58,40.68,0.1722,65.42,0.3356,Medium
S2021_G004,2021,Club Level,day_of_game,345.96,57.74,0.2719,73.31,0.4267,Medium
S2021_G004,2021,Suite,30_days_out,559.29,17.56,0.2342,33.81,0.3097,Low
S2021_G004,2021,Suite,14_days_out,516.91,2.0,0.1359,69.65,0.2662,Low
S2021_G004,2021,Suite,7_days_out,486.14,22.68,0.0877,71.27,0.3363,Low
S2021_G004,2021,Suite,2_days_out,441.65,12.73,0.0005,61.82,0.1445,Low
S2021_G004,2021,Suite,day_of_game,582.2,2.0,0.2918,56.54,0.3834,Medium
S2021_G004,2021,Courtside/Premium,30_days_out,766.15,2.0,0.0633,52.67,0.194,Low
S2021_G004,2021,Courtside/Premium,14_days_out,866.41,27.1,0.2491,69.69,0.3773,Low
S2021_G004,2021,Courtside/Premium,7_days_out,787.22,15.77,0.0973,57.48,0.2288,Low
S2021_G004,2021,Courtside/Premium,2_days_out,861.78,2.0,0.2081,63.24,0.3669,Medium
S2021_G004,2021,Courtside/Premium,day_of_game,827.13,2.0,0.1465,31.47,0.2029,Low
S2021_G004,2021,Standing Room,30_days_out,41.59,41.82,0.0726,64.41,0.2388,Low
S2021_G004,2021,Standing Room,14_days_out,42.88,38.98,0.0573,54.56,0.308,Low
S2021_G004,2021,Standing Room,7_days_out,47.04,52.9,0.1473,43.37,0.2809,Medium
S2021_G004,2021,Standing Room,2_days_out,43.44,48.38,0.1089,33.51,0.1884,Low
S2021_G004,2021,Standing Room,day_of_game,45.69,82.17,0.1746,70.3,0.2996,Medium
S2021_G005,2021,Upper Baseline,30_days_out,55.33,65.53,0.0951,67.12,0.1837,Low
S2021_G005,2021,Upper Baseline,14_days_out,57.11,91.86,0.0921,49.54,0.2508,Low
S2021_G005,2021,Upper Baseline,7_days_out,61.42,189.73,0.1949,41.3,0.3769,Medium
S2021_G005,2021,Upper Baseline,2_days_out,56.5,182.02,0.1193,67.55,0.3116,Medium
S2021_G005,2021,Upper Baseline,day_of_game,58.93,188.71,0.1324,53.69,0.2714,Medium
S2021_G005,2021,Upper Sideline,30_days_out,73.7,102.26,0.2022,50.48,0.2854,Medium
S2021_G005,2021,Upper Sideline,14_days_out,82.65,165.4,0.2998,71.55,0.515,Medium
S2021_G005,2021,Upper Sideline,7_days_out,75.56,169.41,0.1915,74.98,0.5234,Medium
S2021_G005,2021,Upper Sideline,2_days_out,76.22,181.59,0.2031,66.04,0.4468,Medium
S2021_G005,2021,Upper Sideline,day_of_game,78.46,204.64,0.2223,75.89,0.5351,Medium
S2021_G005,2021,Upper Center,30_days_out,89.54,28.13,0.1259,37.71,0.209,Low
S2021_G005,2021,Upper Center,14_days_out,86.92,79.48,0.1046,45.54,0.2282,Medium
S2021_G005,2021,Upper Center,7_days_out,83.46,104.73,0.0569,47.49,0.2793,Low
S2021_G005,2021,Upper Center,2_days_out,95.02,111.39,0.1417,35.56,0.3258,Low
S2021_G005,2021,Upper Center,day_of_game,94.92,154.24,0.2099,47.15,0.3192,Medium
S2021_G005,2021,Lower Corner,30_days_out,110.78,16.88,0.0277,49.35,0.1616,Low
S2021_G005,2021,Lower Corner,14_days_out,118.5,41.81,0.0215,34.36,0.1135,Low
S2021_G005,2021,Lower Corner,7_days_out,120.71,51.78,0.0802,61.32,0.2497,Low
S2021_G005,2021,Lower Corner,2_days_out,123.19,82.03,0.1046,67.11,0.2665,Medium
S2021_G005,2021,Lower Corner,day_of_game,130.79,107.85,0.1365,84.93,0.3496,Medium
S2021_G005,2021,Lower Sideline,30_days_out,186.73,74.1,0.1701,50.28,0.3387,Medium
S2021_G005,2021,Lower Sideline,14_days_out,174.18,61.66,0.0986,61.11,0.2301,Low
S2021_G005,2021,Lower Sideline,7_days_out,182.38,80.46,0.1314,41.83,0.2973,Low
S2021_G005,2021,Lower Sideline,2_days_out,183.31,91.56,0.1351,62.58,0.3163,Medium
S2021_G005,2021,Lower Sideline,day_of_game,179.92,79.51,0.134,48.12,0.2943,Medium
S2021_G005,2021,Lower Center,30_days_out,261.94,48.09,0.2129,71.66,0.3999,Low
S2021_G005,2021,Lower Center,14_days_out,249.76,52.49,0.2222,51.98,0.3366,Medium
S2021_G005,2021,Lower Center,7_days_out,252.65,59.05,0.287,66.09,0.4153,Medium
S2021_G005,2021,Lower Center,2_days_out,262.67,79.75,0.278,64.18,0.4402,Medium
S2021_G005,2021,Lower Center,day_of_game,227.41,41.09,0.1309,54.61,0.2529,Low
S2021_G005,2021,Club Level,30_days_out,308.43,2.0,0.1288,54.43,0.1595,Low
S2021_G005,2021,Club Level,14_days_out,323.74,14.7,0.1766,52.89,0.3485,Medium
S2021_G005,2021,Club Level,7_days_out,322.31,32.24,0.1055,55.45,0.2158,Low
S2021_G005,2021,Club Level,2_days_out,305.64,67.35,0.1506,42.51,0.2532,Medium
S2021_G005,2021,Club Level,day_of_game,330.82,26.76,0.1862,78.69,0.3563,Medium
S2021_G005,2021,Suite,30_days_out,470.4,12.02,0.0577,39.62,0.1866,Low
S2021_G005,2021,Suite,14_days_out,552.99,2.0,0.1855,58.14,0.2608,Medium
S2021_G005,2021,Suite,7_days_out,550.11,47.15,0.205,70.74,0.3976,Medium
S2021_G005,2021,Suite,2_days_out,475.66,7.86,0.0489,44.22,0.1424,Low
S2021_G005,2021,Suite,day_of_game,557.91,30.91,0.2288,83.42,0.4196,Medium
S2021_G005,2021,Courtside/Premium,30_days_out,869.92,38.02,0.2394,63.22,0.362,Low
S2021_G005,2021,Courtside/Premium,14_days_out,785.67,2.0,0.1182,56.27,0.1892,Low
S2021_G005,2021,Courtside/Premium,7_days_out,745.6,2.0,0.0845,25.08,0.1423,Low
S2021_G005,2021,Courtside/Premium,2_days_out,847.3,14.82,0.2272,62.23,0.4051,Medium
S2021_G005,2021,Courtside/Premium,day_of_game,815.15,2.0,0.1693,60.32,0.3547,Low
S2021_G005,2021,Standing Room,30_days_out,45.68,40.1,0.1287,67.75,0.3681,Medium
S2021_G005,2021,Standing Room,14_days_out,45.53,57.28,0.1333,50.28,0.2825,Low
S2021_G005,2021,Standing Room,7_days_out,44.53,51.47,0.047,35.42,0.1839,Low
S2021_G005,2021,Standing Room,2_days_out,54.78,36.69,0.2225,66.8,0.4175,Medium
S2021_G005,2021,Standing Room,day_of_game,55.43,110.99,0.3026,80.33,0.4983,High
S2021_G006,2021,Upper Baseline,30_days_out,105.82,344.24,0.465,100.68,0.7806,High
S2021_G006,2021,Upper Baseline,14_days_out,115.46,552.97,0.5049,134.19,0.946,High
S2021_G006,2021,Upper Baseline,7_days_out,111.06,630.52,0.4684,112.72,0.9696,High
S2021_G006,2021,Upper Baseline,2_days_out,119.2,760.63,0.5418,108.35,1.0,High
S2021_G006,2021,Upper Baseline,day_of_game,128.32,858.12,0.6769,117.82,1.0,High
S2021_G006,2021,Upper Sideline,30_days_out,149.72,325.97,0.5427,96.84,0.8737,High
S2021_G006,2021,Upper Sideline,14_days_out,144.59,484.26,0.4765,84.07,0.8837,High
S2021_G006,2021,Upper Sideline,7_days_out,143.92,546.09,0.4763,104.69,0.9263,High
S2021_G006,2021,Upper Sideline,2_days_out,144.85,611.65,0.5073,86.1,0.9445,High
S2021_G006,2021,Upper Sideline,day_of_game,151.1,698.78,0.5769,94.15,0.9684,High
S2021_G006,2021,Upper Center,30_days_out,153.33,193.11,0.4295,94.81,0.7262,High
S2021_G006,2021,Upper Center,14_days_out,161.2,318.41,0.5025,107.88,0.853,High
S2021_G006,2021,Upper Center,7_days_out,165.96,427.45,0.538,110.98,0.9242,High
S2021_G006,2021,Upper Center,2_days_out,181.75,515.93,0.6842,128.05,1.0,High
S2021_G006,2021,Upper Center,day_of_game,168.73,516.27,0.5398,106.93,0.909,High
S2021_G006,2021,Lower Corner,30_days_out,244.55,200.09,0.5417,123.51,0.8638,High
S2021_G006,2021,Lower Corner,14_days_out,245.84,290.61,0.5483,120.96,0.8973,High
S2021_G006,2021,Lower Corner,7_days_out,246.02,358.6,0.5275,102.38,0.9153,High
S2021_G006,2021,Lower Corner,2_days_out,236.16,352.83,0.4832,95.03,0.8096,High
S2021_G006,2021,Lower Corner,day_of_game,245.59,387.78,0.5076,101.41,0.8596,High
S2021_G006,2021,Lower Sideline,30_days_out,337.53,168.62,0.4909,80.45,0.7393,High
S2021_G006,2021,Lower Sideline,14_days_out,321.32,245.62,0.508,98.89,0.8233,High
S2021_G006,2021,Lower Sideline,7_days_out,323.7,317.28,0.4924,111.17,0.835,High
S2021_G006,2021,Lower Sideline,2_days_out,320.31,371.74,0.4882,85.78,0.7984,High
S2021_G006,2021,Lower Sideline,day_of_game,327.63,345.92,0.5227,119.8,0.8698,High
S2021_G006,2021,Lower Center,30_days_out,428.74,97.51,0.537,113.95,0.8381,High
S2021_G006,2021,Lower Center,14_days_out,405.58,185.34,0.4896,99.94,0.7083,High
S2021_G006,2021,Lower Center,7_days_out,407.08,188.04,0.4797,115.55,0.776,High
S2021_G006,2021,Lower Center,2_days_out,414.65,208.2,0.4925,98.07,0.7835,High
S2021_G006,2021,Lower Center,day_of_game,445.07,238.19,0.6095,104.87,0.8991,High
S2021_G006,2021,Club Level,30_days_out,615.67,74.28,0.5974,102.32,0.8534,High
S2021_G006,2021,Club Level,14_days_out,628.68,153.97,0.5532,97.57,0.7857,High
S2021_G006,2021,Club Level,7_days_out,597.59,150.0,0.5397,100.61,0.8059,High
S2021_G006,2021,Club Level,2_days_out,606.04,178.59,0.5008,87.3,0.733,High
S2021_G006,2021,Club Level,day_of_game,629.45,175.24,0.5922,100.71,0.8305,High
S2021_G006,2021,Suite,30_days_out,897.9,21.96,0.4773,80.9,0.6127,High
S2021_G006,2021,Suite,14_days_out,921.38,81.79,0.4935,96.05,0.7294,High
S2021_G006,2021,Suite,7_days_out,1015.19,38.06,0.633,118.66,0.8721,High
S2021_G006,2021,Suite,2_days_out,945.13,65.52,0.5164,113.11,0.8394,High
S2021_G006,2021,Suite,day_of_game,992.28,39.1,0.5573,107.82,0.7687,High
S2021_G006,2021,Courtside/Premium,30_days_out,1652.49,57.53,0.5941,112.57,0.831,High
S2021_G006,2021,Courtside/Premium,14_days_out,1605.52,44.26,0.6006,104.97,0.8278,High
