season,game_id,game_date,day_of_week,weekend_flag,holiday_flag,rivalry_flag,division_matchup_flag,opponent,opponent_strength,home_team_win_rate,away_team_win_rate,home_team_recent_form,away_team_recent_form,playoff_implication_score,premium_game_flag,seat_section,section_capacity,inventory_remaining,inventory_remaining_pct,current_sell_through_rate,seat_quality_score,base_ticket_price,current_ticket_price,price_change_from_base_pct,days_before_game,pricing_window,days_until_game_bucket,month,season_stage,website_traffic_index,search_interest_index,social_sentiment_score,social_volume_index,email_campaign_active,promotion_flag,marketing_spend_index,star_player_available,injury_news_severity,weather_severity,temperature_score,demand_signal_score,secondary_market_avg_price,secondary_market_listing_count,resale_price_gap_pct,resale_velocity_index,scalper_pressure_score,rolling_3_game_attendance_rate,rolling_5_game_sell_through_rate,previous_similar_game_sell_through,same_opponent_last_season_attendance,section_historical_fill_rate,historical_price_elasticity_section,historical_attendance_rate,affordability_segment,affordability_index,local_income_proxy,final_sell_through_rate,final_attendance_rate,realized_revenue,revenue_per_available_seat,unsold_inventory_pct,actual_secondary_market_gap,realized_demand_score,demand_index,demand_tier,scalper_risk_tier,scalper_risk_label,optimal_price_oracle,recommended_price_target,tickets_sold_pct,sold_tickets,attendance_rate,revenue,predicted_demand_tier,predicted_demand_probability,predicted_sell_through,predicted_scalper_risk_tier,predicted_scalper_risk_probability,recommended_price,price_change_pct,expected_sell_through,expected_revenue,revenue_uplift_vs_current,secondary_market_leakage_reduction,human_approval_required,affordability_risk_flag,capped_by_guardrail,pricing_action
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Center,2600,2170,0.8346,0.1654,0.52,80.51,84.04,0.0439,30,30_days_out,21_plus_days,10,early,128.03,61.12,0.502,70.48,0,0,80.7,1,0.236,0.278,0.883,0.3699,94.04,89.63,0.119,35.24,0.2336,0.626,0.563,0.695,0.593,0.61,-1.246,0.626,Value-sensitive,49.67,61.34,0.734,0.725,160397.1,61.69,0.266,10.0,0.682,0.682,Low,Low,Low,71.05,71.05,0.165,430,0.725,36141.01,Low,0.997729550912546,0.699973115159753,Low,0.9764553183511101,72.46,-0.1378,0.7702,145093.18,-7853.74,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Center,2600,1514,0.5823,0.4177,0.52,80.51,81.34,0.0103,14,14_days_out,8_to_20_days,10,early,134.29,83.85,0.494,95.34,0,0,80.7,1,0.236,0.278,0.883,0.456,93.95,61.17,0.155,72.66,0.3953,0.626,0.563,0.695,0.593,0.61,-1.246,0.626,Value-sensitive,57.15,51.06,0.734,0.725,155231.22,59.7,0.266,12.61,0.682,0.682,Low,Low,Low,71.51,71.51,0.418,1086,0.725,88324.92,Low,0.9597475319930555,0.7436491358698833,Low,0.6297423588467002,70.45,-0.1339,0.8177,149778.49,-7491.41,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Center,2600,1368,0.5262,0.4738,0.52,80.51,82.67,0.0268,7,7_days_out,3_to_7_days,10,early,136.44,89.29,0.297,104.34,0,0,80.7,1,0.236,0.278,0.883,0.4789,100.86,112.42,0.22,69.74,0.4339,0.626,0.563,0.695,0.593,0.61,-1.246,0.626,Value-sensitive,54.23,56.48,0.734,0.725,157769.38,60.68,0.266,18.19,0.682,0.682,Low,Low,Low,72.08,72.08,0.474,1232,0.725,101837.89,Low,0.8353533593371594,0.7392855969110865,Low,0.5085661053873223,72.46,-0.1235,0.8031,151291.5,-7612.02,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Center,2600,1124,0.4323,0.5677,0.52,80.51,84.58,0.0506,2,2_days_out,1_to_2_days,10,early,163.38,115.29,0.438,122.07,0,0,80.7,1,0.236,0.278,0.883,0.5477,98.74,111.84,0.1675,51.53,0.3376,0.626,0.563,0.695,0.593,0.61,-1.246,0.626,Value-sensitive,56.39,51.57,0.734,0.725,161420.23,62.08,0.266,14.16,0.682,0.682,Medium,Medium,Medium,81.96,81.96,0.568,1476,0.725,124841.87,Medium,0.6756363305034268,0.7183746034495836,Medium,0.5905631527763469,76.48,-0.0957,0.804,159892.71,1916.38,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Upper Center,2600,909,0.3496,0.6505,0.52,80.51,81.31,0.01,0,day_of_game,day_of_game,10,early,175.47,114.84,0.418,113.74,0,0,80.7,1,0.236,0.278,0.883,0.5653,94.76,127.21,0.1655,38.92,0.251,0.626,0.563,0.695,0.593,0.61,-1.246,0.626,Value-sensitive,56.6,60.22,0.734,0.725,155183.04,59.69,0.266,13.45,0.682,0.682,Medium,Medium,Medium,82.07,82.07,0.651,1691,0.725,137525.96,Medium,0.7599573412313916,0.7010343932009867,Low,0.5503521089253737,72.46,-0.1089,0.7961,149983.38,1780.5,0.0,False,True,False,Discount
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Corner,2100,1754,0.8352,0.1647,0.63,109.95,108.86,-0.0099,30,30_days_out,21_plus_days,10,early,119.49,67.65,0.41,71.59,0,0,80.7,1,0.236,0.278,0.883,0.369,125.02,83.16,0.1485,46.73,0.3478,0.746,0.71,0.638,0.72,0.715,-0.819,0.746,Mainstream,71.46,66.08,0.659,0.685,150739.71,71.78,0.341,16.17,0.6,0.6,Low,Low,Low,103.11,103.11,0.165,346,0.685,37643.37,Low,0.9973171056530359,0.7037617690348773,Low,0.9799075650048367,115.45,0.0605,0.6189,149880.2,-11003.96,2223.92,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Corner,2100,1383,0.6586,0.3416,0.63,109.95,109.51,-0.004,14,14_days_out,8_to_20_days,10,early,145.92,84.46,0.401,105.33,0,0,80.7,1,0.236,0.278,0.883,0.4332,114.23,50.84,0.0431,44.21,0.1475,0.746,0.71,0.638,0.72,0.715,-0.819,0.746,Mainstream,65.69,66.05,0.659,0.685,151636.54,72.21,0.341,4.72,0.6,0.6,Low,Low,Low,101.72,101.72,0.342,717,0.685,78546.89,Low,0.9845867390789207,0.6875014386478854,Low,0.9955727784738666,115.45,0.0542,0.607,146992.71,-11112.68,954.03,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Corner,2100,1347,0.6414,0.3584,0.63,109.95,107.0,-0.0269,7,7_days_out,3_to_7_days,10,early,161.4,105.08,0.271,110.67,0,0,80.7,1,0.236,0.278,0.883,0.4758,118.36,93.13,0.1062,55.47,0.2441,0.746,0.71,0.638,0.72,0.715,-0.819,0.746,Mainstream,67.33,65.01,0.659,0.685,148161.75,70.55,0.341,11.36,0.6,0.6,Low,Low,Low,102.55,102.55,0.358,753,0.685,80540.17,Low,0.9578197211672126,0.6453917975739677,Low,0.9416401656661945,112.7,0.0533,0.5672,134166.43,-10853.1,1548.57,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Corner,2100,981,0.4671,0.533,0.63,109.95,108.06,-0.0172,2,2_days_out,1_to_2_days,10,early,169.59,87.01,0.445,115.99,0,0,80.7,1,0.236,0.278,0.883,0.5044,117.23,54.24,0.0849,39.54,0.2117,0.746,0.71,0.638,0.72,0.715,-0.819,0.746,Mainstream,62.89,69.17,0.659,0.685,149635.29,71.25,0.341,9.17,0.6,0.6,Low,Low,Low,102.27,102.27,0.533,1119,0.685,120942.25,Low,0.8470689235066772,0.6639502656228858,Low,0.9762891209393084,115.45,0.0684,0.5768,139671.6,-10995.97,1595.69,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Corner,2100,847,0.4033,0.5967,0.63,109.95,109.93,-0.0001,0,day_of_game,day_of_game,10,early,168.51,99.9,0.403,116.36,0,0,80.7,1,0.236,0.278,0.883,0.5277,122.24,75.59,0.112,44.81,0.2328,0.746,0.71,0.638,0.72,0.715,-0.819,0.746,Mainstream,68.03,71.9,0.659,0.685,152229.09,72.49,0.341,12.31,0.6,0.6,Low,Low,Low,102.63,102.63,0.597,1253,0.685,137764.56,Low,0.6914581073656557,0.6493090178799696,Low,0.8589673737642857,115.45,0.0502,0.5726,138663.79,-11231.14,1614.82,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Sideline,1900,1511,0.7953,0.2046,0.72,154.2,153.8,-0.0026,30,30_days_out,21_plus_days,10,early,108.73,57.97,0.371,69.53,0,0,80.7,1,0.236,0.278,0.883,0.3433,168.34,53.73,0.0945,70.8,0.3266,0.684,0.727,0.631,0.701,0.677,-0.98,0.684,Mainstream,69.43,71.28,0.728,0.704,212723.37,111.96,0.272,14.54,0.747,0.747,Low,Low,Low,143.62,143.62,0.205,389,0.704,59772.57,Low,0.9974692896731374,0.7197403531734462,Low,0.9607671853418426,150.35,-0.0225,0.6856,195841.24,-14481.28,674.05,False,False,False,Hold
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Sideline,1900,1226,0.6453,0.3549,0.72,154.2,152.47,-0.0113,14,14_days_out,8_to_20_days,10,early,137.56,83.68,0.223,100.45,0,0,80.7,1,0.236,0.278,0.883,0.4357,175.18,61.51,0.149,71.8,0.315,0.684,0.727,0.631,0.701,0.677,-0.98,0.684,Mainstream,76.12,71.99,0.728,0.704,210882.36,110.99,0.272,22.72,0.747,0.747,Low,Low,Low,144.62,144.62,0.355,674,0.704,102796.59,Low,0.9745617696882161,0.7231531758759975,Low,0.9022577770462166,150.35,-0.0139,0.683,195111.36,-14381.05,1467.78,False,False,False,Hold
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Sideline,1900,1089,0.5732,0.4271,0.72,154.2,152.66,-0.01,7,7_days_out,3_to_7_days,10,early,158.6,95.01,0.555,102.21,0,0,80.7,1,0.236,0.278,0.883,0.4851,167.71,68.97,0.0986,31.44,0.1019,0.684,0.727,0.631,0.701,0.677,-0.98,0.684,Mainstream,71.13,71.61,0.728,0.704,211154.16,111.13,0.272,15.05,0.747,0.747,Low,Low,Low,143.69,143.69,0.427,811,0.704,123870.78,Low,0.946643450489081,0.6732351263986665,Low,0.9887938073990292,150.35,-0.0152,0.6332,180888.53,-14386.01,814.81,False,False,False,Hold
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Sideline,1900,835,0.4395,0.5603,0.72,154.2,162.86,0.0561,2,2_days_out,1_to_2_days,10,early,170.96,101.31,0.317,103.09,0,0,80.7,1,0.236,0.278,0.883,0.5263,191.91,102.05,0.1784,57.93,0.329,0.684,0.727,0.631,0.701,0.677,-0.98,0.684,Mainstream,70.38,71.67,0.728,0.704,225251.96,118.55,0.272,29.06,0.747,0.747,Low,Low,Low,144.82,144.82,0.56,1065,0.704,173362.41,Low,0.6480203537220219,0.7144176127476459,Medium,0.5043708698219708,158.06,-0.0295,0.6851,205628.3,-15436.8,1554.48,False,False,False,Hold
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Sideline,1900,628,0.3305,0.6695,0.72,154.2,156.08,0.0122,0,day_of_game,day_of_game,10,early,178.05,81.57,0.388,124.81,0,0,80.7,1,0.236,0.278,0.883,0.5418,177.64,52.62,0.1381,69.41,0.2882,0.684,0.727,0.631,0.701,0.677,-0.98,0.684,Mainstream,65.85,70.79,0.728,0.704,215881.38,113.62,0.272,21.55,0.747,0.747,Medium,Medium,Medium,164.39,164.39,0.67,1272,0.704,198551.12,Medium,0.8694141136474232,0.7344101661985468,Medium,0.566722217899867,158.06,0.0127,0.7253,217709.2,-81.6,1782.75,False,False,False,Hold
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Center,1200,971,0.8092,0.1912,0.79,215.49,212.82,-0.0124,30,30_days_out,21_plus_days,10,early,103.26,78.17,0.408,81.67,0,0,80.7,1,0.236,0.278,0.883,0.3435,213.06,9.39,0.0011,36.78,0.13,0.632,0.704,0.592,0.88,0.675,-0.757,0.632,Mainstream,75.46,73.39,0.524,0.496,133740.95,111.45,0.476,0.23,0.545,0.545,Low,Low,Low,198.28,198.28,0.191,229,0.496,48830.97,Low,0.997209245153475,0.627925445967181,Low,0.9928225394601716,231.65,0.0885,0.5359,148689.14,-11672.98,25.32,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Center,1200,929,0.7742,0.2255,0.79,215.49,212.93,-0.0119,14,14_days_out,8_to_20_days,10,early,158.49,104.05,0.498,92.32,0,0,80.7,1,0.236,0.278,0.883,0.4318,200.15,18.94,-0.06,36.53,0.0562,0.632,0.704,0.592,0.88,0.675,-0.757,0.632,Mainstream,77.91,77.49,0.524,0.496,133807.39,111.51,0.476,0.0,0.545,0.545,Low,Low,Low,198.25,198.25,0.226,271,0.496,57624.16,Low,0.9677828189189313,0.5762771498861524,Low,0.9802850195895166,231.65,0.0879,0.4879,135361.74,-11886.29,0.0,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Center,1200,808,0.6733,0.3265,0.79,215.49,211.44,-0.0188,7,7_days_out,3_to_7_days,10,early,171.82,97.13,0.57,84.88,0,0,80.7,1,0.236,0.278,0.883,0.4678,226.04,57.8,0.069,38.24,0.1697,0.632,0.704,0.592,0.88,0.675,-0.757,0.632,Mainstream,77.5,78.98,0.524,0.496,132870.99,110.73,0.476,14.6,0.545,0.545,Low,Low,Low,200.04,200.04,0.327,392,0.496,82853.73,Low,0.9489589164935159,0.5876985356925342,Low,0.9807627619805682,231.65,0.0956,0.4952,137377.24,-11738.34,1441.51,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Center,1200,697,0.5808,0.4192,0.79,215.49,213.59,-0.0088,2,2_days_out,1_to_2_days,10,early,168.94,95.2,0.494,113.36,0,0,80.7,1,0.236,0.278,0.883,0.4854,222.94,18.86,0.0438,37.35,0.1843,0.632,0.704,0.592,0.88,0.675,-0.757,0.632,Mainstream,75.75,79.0,0.524,0.496,134219.52,111.85,0.476,9.35,0.545,0.545,Low,Low,Low,199.38,199.38,0.419,503,0.496,107434.99,Low,0.955278478723505,0.5644568501494179,Low,0.9806243748684117,231.65,0.0846,0.4783,132693.92,-11980.89,886.65,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Lower Center,1200,615,0.5125,0.4879,0.79,215.49,213.59,-0.0088,0,day_of_game,day_of_game,10,early,174.16,103.12,0.311,108.17,0,0,80.7,1,0.236,0.278,0.883,0.5119,241.16,43.03,0.1291,29.96,0.233,0.632,0.704,0.592,0.88,0.675,-0.757,0.632,Mainstream,78.03,77.89,0.524,0.496,134219.48,111.85,0.476,27.58,0.545,0.545,Low,Low,Low,201.59,201.59,0.488,585,0.496,125042.48,Low,0.8964258703373296,0.5610317091725039,Low,0.9264720214183003,231.65,0.0846,0.4751,131802.74,-11994.18,2110.67,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Club Level,950,801,0.8432,0.157,0.83,287.17,300.51,0.0464,30,30_days_out,21_plus_days,10,early,137.76,69.03,0.437,85.68,0,0,80.7,1,0.236,0.278,0.883,0.4047,359.54,20.73,0.1964,53.81,0.3545,0.813,0.767,0.736,0.87,0.81,-0.574,0.813,Affluent,92.39,91.73,0.749,0.726,213789.91,225.04,0.251,59.03,0.679,0.679,Low,Low,Low,270.43,270.43,0.157,149,0.726,44818.06,Low,0.9836380872222749,0.7429088202563806,Low,0.926184392173445,358.96,0.1945,0.61,207051.5,-5037.45,5802.45,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Club Level,950,651,0.6853,0.3148,0.83,287.17,282.51,-0.0162,14,14_days_out,8_to_20_days,10,early,142.05,80.87,0.248,80.41,0,0,80.7,1,0.236,0.278,0.883,0.4263,332.35,22.16,0.1764,57.26,0.3498,0.813,0.767,0.736,0.87,0.81,-0.574,0.813,Affluent,100.83,98.98,0.749,0.726,200987.57,211.57,0.251,49.84,0.679,0.679,Low,Low,Low,270.28,270.28,0.315,299,0.726,84481.88,Low,0.9708937304517959,0.7551032144904855,Low,0.9253994654263236,337.42,0.1944,0.6209,198348.07,-4309.93,5005.37,False,False,False,Increase
2025,S2025_G001,2025-10-16,Thursday,0,0,0,0,Sacramento Kings,71.8,0.549,0.718,0.604,0.581,0.131,0,Club Level,950,479,0.5042,0.4955,0.83,287.17,282.02,-0.0179,7,7_days_out,3_to_7_days,10,early,154.11,96.78,0.438,107.19,0,0,80.7,1,0.236,0.278,0.883,0.4701,276.82,46.25,-0.0185,55.23,0.1625,0.813,0.767,0.736,0.87,0.81,-0.574,0.813,Affluent,93.93,99.36,0.749,0.726,200638.3,211.2,0.251,0.0,0.679,0.679,Low,Low,Low,264.2,264.2,0.495,471,0.726,132745.06,Low,0.855975305482867,0.7293054172273976,Low,0.9697370732643792,337.42,0.1965,0.5971,190722.71,-4672.07,0.0,False,False,False,Increase
